Type,Code,Nom_APA,Superf_Km2,PecheCoutu,PecheArtis,PecheIndus,PecheSport
Reserve Aquatique,RA_MEt,Reserve Aquatique de Mandji-Etimboue,4052.00380312000,Reglementee selon le plan d'amenagement,Reglementee dans une bande de 3 mn a la cote,Interdite,Reglementee selon le plan d'amenagement
Parc Marin,PM_Ole,Parc Marin de l'embouchure d'Olende,138.75589769200,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Parc Marin,PM_PDe,Parc Marin de la Pointe Denis,614.43843701100,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Reserve Aquatique,RA_Gam,Reserve Aquatique de Gamba,106.97827917900,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Reserve Aquatique,RA_CCL,Reserve Aquatique des Canyons du Cap Lopez,9869.06846257000,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement
Parc Marin,PM_Nya,Parc Marin de l'embouchure de la Nyanga,68.33407310260,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Reserve Aquatique,RA_GSG,Reserve Aquatique du Grand Sud du Gabon,27518.12828900000,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement
Reserve Aquatique,RA_Kou,Reserve Aquatique de Koumandji,1347.65205818000,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement
Parc Marin,PM_Mba,Parc Marin de l'Ile Mbanie,312.54476554500,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Reserve Aquatique,RA_ABl,Reserve Aquatique de l'Abysse Bleu,7030.31207151000,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement
Reserve Aquatique,RA_DOg,Reserve Aquatique du Delta de l'Ogooue,418.46270523100,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Parc Marin,PM_CLo,Parc Marin du Cap Lopez,12.10951255070,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Parc Marin,PM_Ozo,Parc Marin de l'embouchure d'Ozouri,115.51265218400,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Parc Marin,PM_Ban,Parc Marin de l'embouchure de la Banio,38.66138711790,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Reserve Aquatique,RA_Cai,Reserve Aquatique du Caillou,86.08790337550,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Reserve Aquatique,RA_Tch,Reserve Aquatique de Tchatamba,226.99684123600,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Reserve Aquatique,RA_Olo,Reserve Aquatique d'Olowi,215.73310196800,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Reserve Aquatique,RA_CEs,Reserve Aquatique du Cap Esterias,156.11530365000,Reglementee selon le plan d'amenagement,Reglementee selon le plan d'amenagement,Interdite,Reglementee selon le plan d'amenagement
Parc Marin,PM_Igu,Parc Marin de l'embouchure d'Iguela,220.76152639300,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
Parc Marin,PM_SCa,Parc Marin de l'embouchure de Sette Cama,209.94576722800,Reglementee selon le plan d'amenagement,Interdite,Interdite,Reglementee selon le plan d'amenagement
